字段序号, 字段名                    , 位置    , 处理规则                                                    , 示例源值, 输出值
1       , 记录标识符                , -       , "固定为""AF"""                                              , -       , AF
2       , 航点标识符                , 4       , 直接使用                                                    , REDGO   , REDGO
3       , 纬度                      , -       , 坐标匹配                                                    , -       , 50.1092
4       , 经度                      , -       , 坐标匹配                                                    , -       , 8.8564
5       , 转向方向                  , 9       , "空格=0, 'L'=1, 'R'=2"                                      , L       , 1
6       , 导航台标识符              , 13      , 无数据→空格                                                 , TAU     , TAU
7       , 扫掠角                    , 计算    , 下一航段磁航向-当前磁航向                                   , -       , 69.0
8       , DME距离                   , 19      , 源数据÷10.0                                                 , 0000    , 0.0
9       , 起始径向                  , 20      , 源数据÷10.0                                                 , 0000    , 0.0
10      , 高度约束                  , 23      , 映射表                                                      ,         , 0
11      , 第一高度                  , 24      , 格式处理                                                    ,         , 0
12      , 第二高度                  , 25      , 格式处理                                                    ,         , 0
13      , 速度约束                  , -       , 逻辑判断                                                    , -       , 0
14      , 第一速度                  , 28      , 速度提取                                                    ,         , 0
15      , 第二速度                  , -       , 固定0                                                       , -       , 0
16      , 特殊航点                  , 8[3]    , 字符映射                                                    ,         , 0
17      , 飞越航点                  , 8[1]    , 字符判断                                                    ,         , 0
特殊规则, 扫掠角需航段序列上下文计算, 输出示例, "AF,REDGO,50.1092,8.8564,1,TAU,69.0,0.0,0.0,0,0,0,0,0,0,0,0",         , 